seed,group,method,model,target_city,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,variant
2024,hr_signal_ablation,RD-Safe+Pop,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,fallback_base,pop_only
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,fallback_base,without_cat
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,fallback_base,without_rr
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,fallback_base,without_pop
2024,hr_signal_ablation,RD-Safe+HR-Full,LightGCN,Tokyo,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,,fallback_base,full
2025,main_component,Target-only,VanillaMF,Chicago,0.0,0.0,0.0,0.0,0.0,0.27695016876074907,0.1382900202888907,,,local,
2025,main_component,Original-OTC-GW-NoFallback,VanillaMF,Chicago,0.5,0.0,0.0,0.0,0.0,0.12118908781706024,0.08610980684551037,NYC|Singapore|Tokyo,equal,transfer,
2025,main_component,RD-Safe-OTC-GW,VanillaMF,Chicago,0.0,0.0,0.0,0.0,0.0,0.27695016876074907,0.1382900202888907,,,safe_select:Local,
2025,main_component,HR-Rerank-OTC-GW,VanillaMF,Chicago,0.5,0.0,1.0,1.0,0.5,0.2429740619263273,0.14453704928800387,NYC|Singapore|Tokyo,equal,graph_rerank,
2025,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Chicago,0.0,0.0,0.0,0.0,0.0,0.27695016876074907,0.1382900202888907,,,fallback_base,cat_only
2025,hr_signal_ablation,RD-Safe+RR,VanillaMF,Chicago,0.0,0.0,0.0,0.5,0.0,0.2805337492438652,0.140470864166583,,,graph_rerank,rr_only
2025,hr_signal_ablation,RD-Safe+Pop,VanillaMF,Chicago,0.0,0.0,0.0,0.0,0.0,0.27695016876074907,0.1382900202888907,,,fallback_base,pop_only
2025,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Chicago,0.0,0.0,0.0,0.5,1.0,0.29202583225160383,0.14680728494490541,,,graph_rerank,without_cat
