seed,model,target_city,method,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,gate,score_norm
2026,LightGCN,Chicago,HR-Rerank-OTC-GW,0.5,0.0,0.5,1.0,0.02,0.3287285567939894,0.1784459272453107,NYC|Singapore|Tokyo,graph_rerank,none
2026,LightGCN,Chicago,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6657092236438718,0.3765493278575123,,fallback_base,none
2026,LightGCN,NYC,Target-only,0.0,0.0,0.0,0.0,0.0,0.840094686091673,0.4821640859396924,,local,none
2026,LightGCN,NYC,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.2182993097597847,0.0923436528943019,Chicago|Singapore|Tokyo,transfer,none
2026,LightGCN,NYC,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.840094686091673,0.4821640859396924,,safe_select:Local,none
2026,LightGCN,NYC,HR-Rerank-OTC-GW,0.5,0.0,0.2,0.5,0.0,0.2361317184332072,0.1114087949684167,Chicago|Singapore|Tokyo,graph_rerank,none
2026,LightGCN,NYC,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.840094686091673,0.4821640859396924,,fallback_base,none
2026,LightGCN,Singapore,Target-only,0.0,0.0,0.0,0.0,0.0,0.5152426025564463,0.2459941436970003,,local,none
2026,LightGCN,Singapore,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.4518630650229635,0.2102269472240369,Chicago|NYC|Tokyo,transfer,none
2026,LightGCN,Singapore,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.5152426025564463,0.2459941436970003,,safe_select:Local,none
2026,LightGCN,Singapore,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.1,0.05,0.5097650479559258,0.243529140534228,Chicago|NYC|Tokyo,graph_rerank,none
2026,LightGCN,Singapore,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.5152426025564463,0.2459941436970003,,fallback_base,none
2026,LightGCN,Tokyo,Target-only,0.0,0.0,0.0,0.0,0.0,0.6169124344847404,0.3333820026391381,,local,none
2026,LightGCN,Tokyo,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1531690840509983,0.0695381872135794,Chicago|NYC|Singapore,transfer,none
2026,LightGCN,Tokyo,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6169124344847404,0.3333820026391381,,safe_select:Local,none
2026,LightGCN,Tokyo,HR-Rerank-OTC-GW,0.5,0.0,0.5,0.2,0.0,0.1671339871450081,0.0885451825402051,Chicago|NYC|Singapore,graph_rerank,none
2026,LightGCN,Tokyo,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6169124344847404,0.3333820026391381,,fallback_base,none
