seed,group,method,model,target_city,eval_split,recall@20,ndcg@20,status,notes,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,score_norm
2024,main_component,Target-only,VanillaMF,Tokyo,strict_unseen_test,0.12069098082558176,0.05779143704552768,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.11741081071154416,0.05608852170551169,,,local,none
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,Tokyo,official_test,0.1224928245320352,0.06626814979415209,success,Original no-fallback OTC-GW.,0.5,0.0,0.0,0.0,0.0,0.11619981343755477,0.054406269011740095,Chicago|NYC|Singapore,equal,transfer,none
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,Tokyo,strict_unseen_test,0.11741064409195782,0.05713970532372348,success,Original no-fallback OTC-GW.,0.5,0.0,0.0,0.0,0.0,0.11619981343755477,0.054406269011740095,Chicago|NYC|Singapore,equal,transfer,none
2024,main_component,RD-Safe-OTC-GW,VanillaMF,Tokyo,official_test,0.12565801609759913,0.0671503947217333,success,RD-Safe reliability-aware safe transfer.,0.0,0.0,0.0,0.0,0.0,0.11741081071154416,0.05608852170551169,,,safe_select:Local,none
2024,main_component,RD-Safe-OTC-GW,VanillaMF,Tokyo,strict_unseen_test,0.12069098082558176,0.05779143704552768,success,RD-Safe reliability-aware safe transfer.,0.0,0.0,0.0,0.0,0.0,0.11741081071154416,0.05608852170551169,,,safe_select:Local,none
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,Tokyo,official_test,0.16642156526479757,0.09062423382406766,success,Full HR reranking on Original OTC-GW.,0.5,0.0,1.0,1.0,0.05,0.1535124988066741,0.07562682007691776,Chicago|NYC|Singapore,equal,graph_rerank,none
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,Tokyo,strict_unseen_test,0.1262641372617879,0.058141374822825255,success,Full HR reranking on Original OTC-GW.,0.5,0.0,1.0,1.0,0.05,0.1535124988066741,0.07562682007691776,Chicago|NYC|Singapore,equal,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Tokyo,official_test,0.1560620301532813,0.08496832516919277,success,HR signal ablation: only category-region affinity on RD-Safe.,0.0,0.0,1.0,0.0,0.0,0.1435111800876951,0.07008610734937078,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Tokyo,strict_unseen_test,0.12768443359501574,0.06158530954930813,success,HR signal ablation: only category-region affinity on RD-Safe.,0.0,0.0,1.0,0.0,0.0,0.1435111800876951,0.07008610734937078,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+RR,VanillaMF,Tokyo,official_test,0.14002503568012234,0.07622048988574162,success,HR signal ablation: only region-region diffusion on RD-Safe.,0.0,0.0,0.0,1.0,0.0,0.13244045786998773,0.06476988650321812,,,graph_rerank,none
