model,method,target_city,eval_split,recall@20_mean,ndcg@20_mean,delta_R_vs_target_mean,delta_N_vs_target_mean,pct_R_vs_target_mean,pct_N_vs_target_mean,delta_R_vs_otc_mean,delta_N_vs_otc_mean,pct_R_vs_otc_mean,pct_N_vs_otc_mean,recall@20_std,ndcg@20_std,delta_R_vs_target_std,delta_N_vs_target_std,pct_R_vs_target_std,pct_N_vs_target_std,delta_R_vs_otc_std,delta_N_vs_otc_std,pct_R_vs_otc_std,pct_N_vs_otc_std,recall@20_mean±std,ndcg@20_mean±std
LightGCN,RD-Safe+HR-Rerank-OTC-GW,Singapore,official_test,0.46899651188725033,0.262696977424494,-0.00042185424371367813,-0.001350176877565538,-0.06356989708377118,-0.4783927285094573,0.05792720335531306,0.04436623097582809,14.14667971322642,20.17309351701501,0.015687406380731524,0.02380626442130799,0.01791649805026939,0.024635909162888645,3.7738870602250083,9.2175950241922,0.012215309405886573,0.016543266757264113,3.3067103456604316,6.852152152069103,0.4690±0.0157,0.2627±0.0238
LightGCN,RD-Safe+HR-Rerank-OTC-GW,Singapore,strict_unseen_test,0.3915667029993031,0.173580805533446,-0.0033702932500422333,-0.004769695614988995,-0.8388269229065953,-2.5582713215176436,0.026716324361132786,0.005624090385302205,7.825329680286035,4.212260084860479,0.010289154526285465,0.0029662468332824587,0.0035436338583495542,0.0069130420883058725,0.883762501938072,3.671803122368438,0.02501606067354382,0.01868061787751718,7.80339741886498,10.886387471267524,0.3916±0.0103,0.1736±0.0030
LightGCN,RD-Safe+HR-Rerank-OTC-GW,Tokyo,official_test,0.17591931954887483,0.11305197263962687,0.0,0.0,0.0,0.0,0.040012023681825826,0.038191155530030364,29.589965839715386,51.32642245936154,0.0053565559900697,0.0012069199760287423,0.0,0.0,0.0,0.0,0.005875216249779298,0.0038726004276989877,5.572885897089454,8.178836222926588,0.1759±0.0054,0.1131±0.0012
LightGCN,RD-Safe+HR-Rerank-OTC-GW,Tokyo,strict_unseen_test,0.11211754768545257,0.052320460593380635,0.0,0.0,0.0,0.0,0.00012033887340133498,-0.003011899628232668,0.24961175694767831,-5.364342403829817,0.008087059711518805,0.004371142406111023,0.0,0.0,0.0,0.0,0.005571619104393967,0.0027629602490901847,5.228257945254965,5.0342599070486225,0.1121±0.0081,0.0523±0.0044
LightGCN,RD-Safe-OTC-GW,Chicago,official_test,0.2762458588395536,0.20436817564130225,0.0,0.0,0.0,0.0,0.030869597693125805,0.046288397291840915,12.570931574725734,29.428458807668438,0.009169542392533628,0.004066646890473409,0.0,0.0,0.0,0.0,0.0026871545158210436,0.004818547834336973,0.8420013752765092,4.53748261867171,0.2762±0.0092,0.2044±0.0041
LightGCN,RD-Safe-OTC-GW,Chicago,strict_unseen_test,0.19337439012512644,0.10045410892196682,0.0,0.0,0.0,0.0,0.00036151151271955156,-0.002754599772193241,0.14644551704914957,-2.343161898434026,0.010275465954143389,0.001984875596173512,0.0,0.0,0.0,0.0,0.005855287559362216,0.007848760667091143,2.9864912369019176,7.154326633697112,0.1934±0.0103,0.1005±0.0020
LightGCN,RD-Safe-OTC-GW,NYC,official_test,0.20203272937442382,0.1150797316856517,0.0,0.0,0.0,0.0,0.07982201152074565,0.0501021975481069,65.89241986085402,78.90258545576141,0.009444348464795527,0.0020178139211846752,0.0,0.0,0.0,0.0,0.012830136222367656,0.008532837843777752,14.204061116370777,22.378083341616744,0.2020±0.0094,0.1151±0.0020
LightGCN,RD-Safe-OTC-GW,NYC,strict_unseen_test,0.13199067087519858,0.054442843295610936,0.0,0.0,0.0,0.0,0.0409579760940035,0.012239578439801268,45.85186958912356,29.57275345216277,0.01118211070254519,0.0036374165653765642,0.0,0.0,0.0,0.0,0.015626827963826022,0.005881745162452666,19.371362917507806,15.141303899234176,0.1320±0.0112,0.0544±0.0036
LightGCN,RD-Safe-OTC-GW,Singapore,official_test,0.463236514721518,0.25516935095308074,-0.00618185140944603,-0.008877803348978771,-1.2896134430545658,-3.3086229000535714,0.052167206189580706,0.03683860450441486,12.789240795244053,16.83632051661056,0.005751713312931878,0.01236052160344645,0.010707280726001798,0.015376806460036363,2.233676005494341,5.7307029659786695,0.012857531853742664,0.004877942663895919,3.7209055678017875,1.7106252158459738,0.4632±0.0058,0.2552±0.0124
LightGCN,RD-Safe-OTC-GW,Singapore,strict_unseen_test,0.39258200855871556,0.17781340433787204,-0.002354987690629732,-0.0005370968105629278,-0.5871808946878965,-0.30311345850908195,0.027731629920545287,0.009856689189728271,8.081138109436374,6.429075732767707,0.011658694769868463,0.008966866941867395,0.004078958331369993,0.0009302789644781873,1.017027142833187,0.5250079105956507,0.023627082152112212,0.011350892006196794,7.467556673190531,7.0503400021455205,0.3926±0.0117,0.1778±0.0090
